#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
157475511,0.5,7.187,5.1,6,24,-53,2412,FTM_GREEN,1
157476043,0.5,10.625,6.84,5,24,-55,2412,FTM_GREEN,1
157476594,0.5,9.437,4.605,6,24,-47,2412,FTM_GREEN,1
157477143,0.5,11.25,6.105,5,24,-46,2412,FTM_GREEN,1
157477689,0.5,9.562,6.99,6,24,-54,2412,FTM_GREEN,1
157478229,0.5,7.5,5.655,4,24,-46,2412,FTM_GREEN,1
157478771,0.5,7.187,4.08,4,24,-45,2412,FTM_GREEN,1
157479317,0.5,7.625,4.68,6,24,-46,2412,FTM_GREEN,1
157479874,0.5,7.187,3.075,2,24,-46,2412,FTM_GREEN,1
157480418,0.5,8.375,6.66,7,24,-46,2412,FTM_GREEN,1
157480957,0.5,10.187,5.91,7,24,-46,2412,FTM_GREEN,1
157481516,0.5,15.0,2.385,5,24,-48,2412,FTM_GREEN,1
157482058,0.5,8.812,3.0,4,24,-45,2412,FTM_GREEN,1
157482602,0.5,8.812,5.49,6,24,-52,2412,FTM_GREEN,1
157483160,0.5,9.25,4.725,6,24,-45,2412,FTM_GREEN,1
157483691,0.5,12.0,4.935,5,24,-55,2412,FTM_GREEN,1
157484228,0.5,14.062,2.205,4,24,-46,2412,FTM_GREEN,1
157484789,0.5,9.75,5.13,6,24,-46,2412,FTM_GREEN,1
157485335,0.5,8.25,4.05,6,24,-46,2412,FTM_GREEN,1
157485873,0.5,7.75,3.735,5,24,-46,2412,FTM_GREEN,1
157486434,0.5,10.75,6.09,4,24,-46,2412,FTM_GREEN,1
157486967,0.5,4.75,0.12,5,24,-46,2412,FTM_GREEN,1
157487517,0.5,7.937,5.55,6,24,-46,2412,FTM_GREEN,1
157488079,0.5,9.25,5.64,6,24,-46,2412,FTM_GREEN,1
157488639,0.5,8.375,3.36,5,24,-46,2412,FTM_GREEN,1
157489585,0.5,9.0,4.89,6,24,-46,2412,FTM_GREEN,1
157490133,0.5,8.375,6.105,6,24,-46,2412,FTM_GREEN,1
157490673,0.5,8.062,4.14,4,24,-46,2412,FTM_GREEN,1
157491232,0.5,16.0,0.915,4,24,-46,2412,FTM_GREEN,1
157491778,0.5,7.937,4.23,5,24,-47,2412,FTM_GREEN,1
157492318,0.5,9.125,5.61,7,24,-55,2412,FTM_GREEN,1
157492876,0.5,7.187,3.69,4,24,-48,2412,FTM_GREEN,1
157493431,0.5,10.75,4.26,6,24,-47,2412,FTM_GREEN,1
157493962,0.5,9.875,6.21,5,24,-55,2412,FTM_GREEN,1
157494515,0.5,7.312,3.96,4,24,-46,2412,FTM_GREEN,1
157495064,0.5,8.375,4.71,5,24,-46,2412,FTM_GREEN,1
157495600,0.5,7.187,4.86,5,24,-46,2412,FTM_GREEN,1
157496145,0.5,10.75,6.93,6,24,-46,2412,FTM_GREEN,1
157496698,0.5,4.187,4.365,7,24,-46,2412,FTM_GREEN,1
157497240,0.5,6.875,4.11,6,24,-46,2412,FTM_GREEN,1
157498186,0.5,8.25,5.61,5,24,-45,2412,FTM_GREEN,1
157498730,0.5,8.25,3.48,4,24,-46,2412,FTM_GREEN,1
157499263,0.5,8.5,5.31,6,24,-46,2412,FTM_GREEN,1
157499804,0.5,6.875,4.98,7,24,-45,2412,FTM_GREEN,1
157500355,0.5,7.0,4.56,6,24,-45,2412,FTM_GREEN,1
157500896,0.5,11.062,4.41,6,24,-45,2412,FTM_GREEN,1
157501802,0.5,8.062,6.135,5,24,-45,2412,FTM_GREEN,1
157502344,0.5,8.375,4.59,6,24,-46,2412,FTM_GREEN,1
157502879,0.5,11.375,4.95,8,24,-46,2412,FTM_GREEN,1
157503428,0.5,9.0,5.325,7,24,-53,2412,FTM_GREEN,1
157503977,0.5,9.437,5.025,6,24,-46,2412,FTM_GREEN,1
157504510,0.5,11.062,4.05,6,24,-55,2412,FTM_GREEN,1
