#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
14008156,0.5,22.937,0.0,1,24,-88,2412,FTM_GREEN,1
14008674,0.5,20.375,5.67,7,24,-88,2412,FTM_GREEN,1
14009767,0.5,18.125,3.93,6,24,-87,2412,FTM_GREEN,1
14010331,0.5,10.0,0.78,3,24,-90,2412,FTM_GREEN,1
14010848,0.5,16.312,6.3,6,24,-90,2412,FTM_GREEN,1
14011788,0.5,22.937,3.375,4,24,-87,2412,FTM_GREEN,1
14012307,0.5,17.375,6.0,7,24,-85,2412,FTM_GREEN,1
14012826,0.5,18.875,7.305,5,24,-88,2412,FTM_GREEN,1
14013342,0.5,16.0,5.175,6,24,-84,2412,FTM_GREEN,1
14013858,0.5,18.75,4.92,6,24,-83,2412,FTM_GREEN,1
14014379,0.5,19.312,6.6,2,24,-91,2412,FTM_GREEN,1
14015313,0.5,16.937,6.39,7,24,-88,2412,FTM_GREEN,1
14016376,0.5,16.5,4.035,6,24,-85,2412,FTM_GREEN,1
14016892,0.5,13.312,4.575,7,24,-85,2412,FTM_GREEN,1
14017401,0.5,19.187,5.04,7,24,-85,2412,FTM_GREEN,1
14017971,0.5,20.5,6.66,6,24,-85,2412,FTM_GREEN,1
14018496,0.5,23.375,0.075,3,24,-86,2412,FTM_GREEN,1
14019041,0.5,17.5,4.845,7,24,-85,2412,FTM_GREEN,1
14019551,0.5,14.25,5.025,7,24,-85,2412,FTM_GREEN,1
14020107,0.5,19.937,6.705,5,24,-85,2412,FTM_GREEN,1
14020628,0.5,12.562,2.595,5,24,-86,2412,FTM_GREEN,1
14021183,0.5,18.75,5.025,6,24,-83,2412,FTM_GREEN,1
14021722,0.5,18.875,6.345,7,24,-86,2412,FTM_GREEN,1
14022247,0.5,20.375,6.18,6,24,-85,2412,FTM_GREEN,1
14022768,0.5,15.25,4.155,7,24,-84,2412,FTM_GREEN,1
14023290,0.5,17.812,5.25,7,24,-84,2412,FTM_GREEN,1
14023811,0.5,17.687,6.21,6,24,-85,2412,FTM_GREEN,1
14024360,0.5,16.625,5.955,7,24,-84,2412,FTM_GREEN,1
14024877,0.5,22.0,0.99,3,24,-84,2412,FTM_GREEN,1
14025454,0.5,15.25,6.345,6,24,-88,2412,FTM_GREEN,1
14025977,0.5,18.875,4.68,5,24,-86,2412,FTM_GREEN,1
14026925,0.5,18.437,4.305,6,24,-84,2412,FTM_GREEN,1
14027438,0.5,17.25,5.61,6,24,-86,2412,FTM_GREEN,1
14027948,0.5,19.0,6.24,7,24,-83,2412,FTM_GREEN,1
14028463,0.5,24.0,1.125,5,24,-84,2412,FTM_GREEN,1
14028973,0.5,15.125,4.08,6,24,-84,2412,FTM_GREEN,1
14029486,0.5,21.875,6.03,5,24,-86,2412,FTM_GREEN,1
14029997,0.5,14.812,4.17,6,24,-87,2412,FTM_GREEN,1
14030539,0.5,17.812,6.84,7,24,-88,2412,FTM_GREEN,1
14031065,0.5,14.062,5.28,6,24,-89,2412,FTM_GREEN,1
14031586,0.5,15.0,4.98,6,24,-89,2412,FTM_GREEN,1
14032102,0.5,19.0,7.29,6,24,-88,2412,FTM_GREEN,1
14032619,0.5,18.875,5.31,6,24,-88,2412,FTM_GREEN,1
14033991,0.5,18.75,5.49,8,24,-84,2412,FTM_GREEN,1
14034541,0.5,21.437,4.62,3,24,-89,2412,FTM_GREEN,1
14035054,0.5,11.375,0.975,5,24,-85,2412,FTM_GREEN,1
14035603,0.5,13.5,4.905,5,24,-86,2412,FTM_GREEN,1
14036119,0.5,13.937,3.315,4,24,-84,2412,FTM_GREEN,1
14036652,0.5,17.812,7.65,6,24,-88,2412,FTM_GREEN,1
