#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
154900778,0.5,6.0,5.4,6,24,-56,2412,FTM_PINK,1
154901312,0.5,11.25,5.745,6,24,-63,2412,FTM_PINK,1
154901860,0.5,10.187,5.94,6,24,-65,2412,FTM_PINK,1
154902396,0.5,4.75,3.42,5,24,-58,2412,FTM_PINK,1
154902932,0.5,8.062,5.775,5,24,-57,2412,FTM_PINK,1
154905843,0.5,16.75,2.25,4,24,-54,2412,FTM_PINK,1
154906377,0.5,5.812,5.25,5,24,-52,2412,FTM_PINK,1
154906910,0.5,7.937,7.08,6,24,-52,2412,FTM_PINK,1
154907445,0.5,6.437,4.11,4,24,-53,2412,FTM_PINK,1
154907977,0.5,8.812,4.83,6,24,-54,2412,FTM_PINK,1
154908518,0.5,10.625,6.465,6,24,-54,2412,FTM_PINK,1
154909059,0.5,8.25,6.525,6,24,-60,2412,FTM_PINK,1
154909605,0.5,9.125,4.32,4,24,-55,2412,FTM_PINK,1
154910136,0.5,6.0,3.615,5,24,-54,2412,FTM_PINK,1
154911103,0.5,6.562,3.93,6,24,-55,2412,FTM_PINK,1
154911651,0.5,8.5,4.56,6,24,-55,2412,FTM_PINK,1
154912194,0.5,14.812,3.84,5,24,-61,2412,FTM_PINK,1
154912728,0.5,10.937,7.035,7,24,-55,2412,FTM_PINK,1
154913262,0.5,11.062,3.795,6,24,-55,2412,FTM_PINK,1
154913799,0.5,8.687,4.95,4,24,-55,2412,FTM_PINK,1
154914340,0.5,4.312,1.32,4,24,-55,2412,FTM_PINK,1
154914882,0.5,5.25,1.11,3,24,-55,2412,FTM_PINK,1
154915411,0.5,9.875,4.5,4,24,-55,2412,FTM_PINK,1
154915952,0.5,10.187,4.305,6,24,-55,2412,FTM_PINK,1
154916511,0.5,12.437,4.005,4,24,-55,2412,FTM_PINK,1
154917053,0.5,9.0,5.025,4,24,-55,2412,FTM_PINK,1
154917593,0.5,5.375,4.62,4,24,-54,2412,FTM_PINK,1
154918134,0.5,13.0,5.88,5,24,-53,2412,FTM_PINK,1
154918678,0.5,6.75,5.82,5,24,-63,2412,FTM_PINK,1
154921804,0.5,9.0,4.38,6,24,-53,2412,FTM_PINK,1
154922347,0.5,4.625,3.765,6,24,-53,2412,FTM_PINK,1
154922888,0.5,15.875,0.0,1,24,-53,2412,FTM_PINK,1
154923439,0.5,3.0,2.205,5,24,-53,2412,FTM_PINK,1
154923974,0.5,3.75,4.365,6,24,-52,2412,FTM_PINK,1
154924518,0.5,6.75,5.325,7,24,-52,2412,FTM_PINK,1
154925434,0.5,7.0,6.0,6,24,-53,2412,FTM_PINK,1
154925976,0.5,3.562,3.21,5,24,-44,2412,FTM_PINK,1
154926512,0.5,2.062,1.185,3,24,-53,2412,FTM_PINK,1
154927492,0.5,6.25,4.11,6,24,-60,2412,FTM_PINK,1
154928560,0.5,3.875,3.945,5,24,-53,2412,FTM_PINK,1
154929100,0.5,7.5,5.505,6,24,-53,2412,FTM_PINK,1
154929627,0.5,6.75,4.005,6,24,-59,2412,FTM_PINK,1
154930161,0.5,8.687,6.24,7,24,-52,2412,FTM_PINK,1
