#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
157847864,0.5,23.5,6.42,6,24,-75,2412,FTM_PINK,1
157848415,0.5,22.75,5.16,4,24,-61,2412,FTM_PINK,1
157848972,0.5,17.25,3.12,5,24,-64,2412,FTM_PINK,1
157849529,0.5,20.5,4.95,6,24,-66,2412,FTM_PINK,1
157850088,0.5,19.75,4.695,4,24,-71,2412,FTM_PINK,1
157850637,0.5,19.0,5.79,6,24,-61,2412,FTM_PINK,1
157851200,0.5,21.25,6.465,6,24,-61,2412,FTM_PINK,1
157851740,0.5,20.812,4.845,6,24,-66,2412,FTM_PINK,1
157852288,0.5,20.062,5.25,6,24,-61,2412,FTM_PINK,1
157852854,0.5,20.812,4.605,6,24,-61,2412,FTM_PINK,1
157853795,0.5,19.5,5.76,8,24,-60,2412,FTM_PINK,1
157854341,0.5,15.75,5.22,6,24,-70,2412,FTM_PINK,1
157854897,0.5,20.25,5.04,7,24,-67,2412,FTM_PINK,1
157856237,0.5,19.75,6.33,6,24,-68,2412,FTM_PINK,1
157856774,0.5,14.5,3.69,6,24,-60,2412,FTM_PINK,1
157857335,0.5,17.687,6.21,6,24,-60,2412,FTM_PINK,1
157857880,0.5,16.0,4.59,6,24,-60,2412,FTM_PINK,1
157858986,0.5,12.125,0.315,3,24,-60,2412,FTM_PINK,1
157859526,0.5,17.687,5.445,5,24,-69,2412,FTM_PINK,1
157860072,0.5,21.75,4.59,6,24,-62,2412,FTM_PINK,1
157860622,0.5,16.75,5.73,7,24,-60,2412,FTM_PINK,1
157861152,0.5,19.187,4.665,6,24,-74,2412,FTM_PINK,1
157861700,0.5,18.25,5.88,7,24,-60,2412,FTM_PINK,1
157862251,0.5,20.5,3.525,6,24,-82,2412,FTM_PINK,1
157862794,0.5,15.875,3.735,6,24,-60,2412,FTM_PINK,1
157863335,0.5,12.437,0.42,4,24,-60,2412,FTM_PINK,1
157863889,0.5,17.5,4.56,5,24,-60,2412,FTM_PINK,1
157864435,0.5,18.25,5.505,6,24,-67,2412,FTM_PINK,1
157865409,0.5,20.687,5.085,4,24,-60,2412,FTM_PINK,1
157865955,0.5,15.75,5.25,6,24,-59,2412,FTM_PINK,1
157866496,0.5,15.25,4.47,6,24,-58,2412,FTM_PINK,1
157867033,0.5,17.687,5.595,6,24,-59,2412,FTM_PINK,1
157867579,0.5,16.312,3.795,6,24,-59,2412,FTM_PINK,1
157868121,0.5,18.125,5.76,6,24,-61,2412,FTM_PINK,1
157868653,0.5,14.687,5.82,6,24,-59,2412,FTM_PINK,1
157869194,0.5,16.312,4.23,4,24,-59,2412,FTM_PINK,1
157869744,0.5,16.75,4.605,4,24,-59,2412,FTM_PINK,1
157870286,0.5,25.0,0.525,3,24,-47,2412,FTM_PINK,1
157870821,0.5,14.5,4.095,6,24,-58,2412,FTM_PINK,1
157871372,0.5,13.75,0.69,5,24,-59,2412,FTM_PINK,1
157871915,0.5,17.687,5.1,5,24,-59,2412,FTM_PINK,1
157872464,0.5,17.812,5.175,6,24,-59,2412,FTM_PINK,1
157873012,0.5,18.125,5.94,7,24,-63,2412,FTM_PINK,1
157873548,0.5,19.312,6.33,6,24,-74,2412,FTM_PINK,1
157874086,0.5,22.5,1.185,4,24,-58,2412,FTM_PINK,1
157874634,0.5,15.125,3.795,6,24,-58,2412,FTM_PINK,1
157875183,0.5,19.75,4.23,4,24,-58,2412,FTM_PINK,1
157875717,0.5,18.875,2.19,4,24,-59,2412,FTM_PINK,1
157876261,0.5,18.125,5.37,6,24,-65,2412,FTM_PINK,1
157877216,0.5,23.687,0.81,4,24,-58,2412,FTM_PINK,1
