#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
16505151,0.5,5.25,3.375,5,24,-38,2412,FTM_ORANGE,1
16505663,0.5,3.125,0.99,5,24,-37,2412,FTM_ORANGE,1
16506235,0.5,3.562,1.755,8,24,-37,2412,FTM_ORANGE,1
16506761,0.5,3.562,3.705,4,24,-38,2412,FTM_ORANGE,1
16507692,0.5,11.375,4.65,6,24,-37,2412,FTM_ORANGE,1
16508206,0.5,6.75,5.91,10,24,-36,2412,FTM_ORANGE,1
16508714,0.5,3.0,1.245,5,24,-36,2412,FTM_ORANGE,1
16509232,0.5,2.687,1.245,6,24,-30,2412,FTM_ORANGE,1
16509754,0.5,1.312,0.255,3,24,-39,2412,FTM_ORANGE,1
16510274,0.5,8.062,6.9,6,24,-39,2412,FTM_ORANGE,1
16510841,0.5,6.562,5.655,8,24,-39,2412,FTM_ORANGE,1
16511356,0.5,2.5,2.1,8,24,-40,2412,FTM_ORANGE,1
16511911,0.5,13.187,2.445,5,24,-38,2412,FTM_ORANGE,1
16512422,0.5,8.375,6.465,6,24,-39,2412,FTM_ORANGE,1
16512966,0.5,2.375,0.405,4,24,-40,2412,FTM_ORANGE,1
16513482,0.5,10.5,5.88,6,24,-37,2412,FTM_ORANGE,1
16513992,0.5,3.437,4.2,5,24,-37,2412,FTM_ORANGE,1
16514502,0.5,2.375,1.935,6,24,-38,2412,FTM_ORANGE,1
16515016,0.5,1.5,0.645,4,24,-39,2412,FTM_ORANGE,1
16516063,0.5,3.75,1.23,6,24,-38,2412,FTM_ORANGE,1
16517118,0.5,4.0,3.285,7,24,-38,2412,FTM_ORANGE,1
16519957,0.5,2.812,3.9,7,24,-38,2412,FTM_ORANGE,1
16520481,0.5,3.875,3.69,5,24,-41,2412,FTM_ORANGE,1
16520993,0.5,6.562,5.7,7,24,-37,2412,FTM_ORANGE,1
16521513,0.5,6.875,5.52,8,24,-38,2412,FTM_ORANGE,1
16522026,0.5,5.062,5.805,7,24,-38,2412,FTM_ORANGE,1
16522554,0.5,7.625,5.775,6,24,-38,2412,FTM_ORANGE,1
16523067,0.5,8.5,6.255,5,24,-38,2412,FTM_ORANGE,1
16523592,0.5,5.5,5.565,7,24,-38,2412,FTM_ORANGE,1
16524103,0.5,9.25,4.605,5,24,-38,2412,FTM_ORANGE,1
16524620,0.5,5.375,3.315,5,24,-38,2412,FTM_ORANGE,1
16525650,0.5,7.75,5.28,7,24,-38,2412,FTM_ORANGE,1
16526716,0.5,2.5,2.13,7,24,-38,2412,FTM_ORANGE,1
16527237,0.5,8.062,5.415,8,24,-38,2412,FTM_ORANGE,1
16527757,0.5,8.062,5.64,6,24,-37,2412,FTM_ORANGE,1
16528278,0.5,4.5,1.545,5,24,-37,2412,FTM_ORANGE,1
16528854,0.5,5.25,3.27,9,24,-37,2412,FTM_ORANGE,1
16529374,0.5,6.125,5.61,6,24,-37,2412,FTM_ORANGE,1
16530410,0.5,15.562,0.39,4,24,-37,2412,FTM_ORANGE,1
16530923,0.5,3.75,2.745,6,24,-37,2412,FTM_ORANGE,1
16531439,0.5,3.562,3.6,2,24,-37,2412,FTM_ORANGE,1
16531955,0.5,10.0,5.535,7,24,-37,2412,FTM_ORANGE,1
16532471,0.5,8.687,7.38,7,24,-37,2412,FTM_ORANGE,1
16532987,0.5,8.5,6.54,6,24,-37,2412,FTM_ORANGE,1
16533513,0.5,4.937,3.81,9,24,-39,2412,FTM_ORANGE,1
16534035,0.5,10.0,5.805,7,24,-38,2412,FTM_ORANGE,1
16534539,0.5,8.375,5.43,7,24,-38,2412,FTM_ORANGE,1
