#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
14698593,0.5,14.812,0.18,3,24,-63,2412,FTM_PINK,1
14702589,0.5,19.187,3.975,8,24,-61,2412,FTM_PINK,1
14703103,0.5,11.062,1.485,5,24,-61,2412,FTM_PINK,1
14703624,0.5,12.562,2.115,5,24,-61,2412,FTM_PINK,1
14704135,0.5,14.5,3.645,6,24,-62,2412,FTM_PINK,1
14704652,0.5,11.812,1.35,5,24,-62,2412,FTM_PINK,1
14705179,0.5,17.25,4.65,8,24,-61,2412,FTM_PINK,1
14705692,0.5,20.687,5.7,6,24,-63,2412,FTM_PINK,1
14706208,0.5,16.312,6.24,7,24,-65,2412,FTM_PINK,1
14706720,0.5,15.25,2.73,7,24,-67,2412,FTM_PINK,1
14707241,0.5,16.625,5.865,6,24,-69,2412,FTM_PINK,1
14708308,0.5,16.5,3.885,4,24,-66,2412,FTM_PINK,1
14708834,0.5,28.625,6.12,7,24,-66,2412,FTM_PINK,1
14709351,0.5,17.812,1.56,6,24,-65,2412,FTM_PINK,1
14709863,0.5,20.25,5.055,7,24,-64,2412,FTM_PINK,1
14710387,0.5,21.75,4.665,8,24,-66,2412,FTM_PINK,1
14710904,0.5,17.687,0.33,4,24,-67,2412,FTM_PINK,1
14711431,0.5,13.75,1.905,7,24,-71,2412,FTM_PINK,1
14711946,0.5,26.812,5.7,7,24,-72,2412,FTM_PINK,1
14712465,0.5,25.5,5.265,7,24,-68,2412,FTM_PINK,1
14712984,0.5,20.062,6.765,7,24,-63,2412,FTM_PINK,1
14714076,0.5,23.812,6.465,7,24,-66,2412,FTM_PINK,1
14714645,0.5,20.687,4.05,9,24,-66,2412,FTM_PINK,1
14717676,0.5,18.437,4.98,7,24,-63,2412,FTM_PINK,1
14718709,0.5,19.312,5.895,8,24,-64,2412,FTM_PINK,1
14719773,0.5,13.187,2.25,7,24,-62,2412,FTM_PINK,1
14720346,0.5,25.312,6.105,7,24,-61,2412,FTM_PINK,1
14721325,0.5,27.562,0.75,4,24,-64,2412,FTM_PINK,1
14721840,0.5,26.25,3.87,6,24,-68,2412,FTM_PINK,1
14722360,0.5,19.625,5.565,8,24,-70,2412,FTM_PINK,1
14722880,0.5,27.0,5.715,7,24,-67,2412,FTM_PINK,1
14723404,0.5,24.437,5.94,6,24,-72,2412,FTM_PINK,1
14723927,0.5,28.0,6.72,6,24,-68,2412,FTM_PINK,1
14724449,0.5,16.937,0.945,4,24,-74,2412,FTM_PINK,1
14724965,0.5,16.0,0.645,5,24,-64,2412,FTM_PINK,1
14725491,0.5,21.75,2.205,5,24,-66,2412,FTM_PINK,1
14726498,0.5,24.875,4.83,7,24,-65,2412,FTM_PINK,1
14727014,0.5,25.5,5.115,5,24,-67,2412,FTM_PINK,1
14727541,0.5,21.25,6.075,8,24,-71,2412,FTM_PINK,1
