#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
153895752,0.5,23.687,0.615,4,24,-57,2412,FTM_BLUE,1
153896286,0.5,21.125,4.23,6,24,-63,2412,FTM_BLUE,1
153896823,0.5,19.75,3.315,5,24,-55,2412,FTM_BLUE,1
153897745,0.5,24.437,7.05,6,24,-74,2412,FTM_BLUE,1
153898281,0.5,24.437,5.58,6,24,-59,2412,FTM_BLUE,1
153898813,0.5,21.75,4.875,5,24,-48,2412,FTM_BLUE,1
153899341,0.5,24.75,5.805,6,24,-57,2412,FTM_BLUE,1
153899877,0.5,22.187,6.945,4,24,-56,2412,FTM_BLUE,1
153900414,0.5,25.75,4.14,6,24,-55,2412,FTM_BLUE,1
153900949,0.5,22.312,3.915,4,24,-57,2412,FTM_BLUE,1
153901484,0.5,23.812,5.67,6,24,-58,2412,FTM_BLUE,1
153902021,0.5,19.937,3.075,5,24,-61,2412,FTM_BLUE,1
153904828,0.5,22.187,4.5,6,24,-58,2412,FTM_BLUE,1
153905373,0.5,27.437,5.055,5,24,-58,2412,FTM_BLUE,1
153906348,0.5,28.0,5.07,4,24,-59,2412,FTM_BLUE,1
153906885,0.5,24.25,6.015,6,24,-65,2412,FTM_BLUE,1
153907414,0.5,32.5,1.155,4,24,-66,2412,FTM_BLUE,1
153907950,0.5,24.562,4.575,5,24,-60,2412,FTM_BLUE,1
153908481,0.5,24.875,7.245,6,24,-59,2412,FTM_BLUE,1
153909023,0.5,22.625,5.895,5,24,-58,2412,FTM_BLUE,1
153909553,0.5,21.75,5.64,6,24,-58,2412,FTM_BLUE,1
153910085,0.5,23.687,4.995,6,24,-58,2412,FTM_BLUE,1
153911072,0.5,25.75,5.175,6,24,-60,2412,FTM_BLUE,1
153911597,0.5,23.687,4.56,6,24,-60,2412,FTM_BLUE,1
153912140,0.5,24.125,4.845,7,24,-57,2412,FTM_BLUE,1
153912677,0.5,19.187,2.49,5,24,-57,2412,FTM_BLUE,1
153913217,0.5,18.25,0.555,4,24,-62,2412,FTM_BLUE,1
153913756,0.5,26.25,3.3,6,24,-58,2412,FTM_BLUE,1
153914306,0.5,27.875,5.535,6,24,-66,2412,FTM_BLUE,1
153914851,0.5,25.75,5.13,6,24,-63,2412,FTM_BLUE,1
153915394,0.5,24.125,4.71,6,24,-57,2412,FTM_BLUE,1
153915933,0.5,22.312,4.575,6,24,-64,2412,FTM_BLUE,1
153916468,0.5,25.0,6.33,7,24,-67,2412,FTM_BLUE,1
153917007,0.5,27.562,4.545,6,24,-58,2412,FTM_BLUE,1
153917542,0.5,25.75,6.855,6,24,-60,2412,FTM_BLUE,1
153918089,0.5,25.937,4.635,4,24,-56,2412,FTM_BLUE,1
153918632,0.5,30.75,5.235,5,24,-63,2412,FTM_BLUE,1
153919555,0.5,19.937,1.785,4,24,-57,2412,FTM_BLUE,1
153920113,0.5,26.5,5.19,6,24,-67,2412,FTM_BLUE,1
153920642,0.5,19.0,0.75,4,24,-55,2412,FTM_BLUE,1
153921167,0.5,26.062,5.4,7,24,-56,2412,FTM_BLUE,1
153921698,0.5,23.687,4.875,6,24,-55,2412,FTM_BLUE,1
153922606,0.5,24.437,3.18,4,24,-56,2412,FTM_BLUE,1
153923136,0.5,19.312,1.035,5,24,-63,2412,FTM_BLUE,1
153924056,0.5,26.812,6.825,6,24,-63,2412,FTM_BLUE,1
153924594,0.5,21.125,0.795,3,24,-55,2412,FTM_BLUE,1
153925132,0.5,28.5,5.415,3,24,-55,2412,FTM_BLUE,1
