#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
153956521,0.5,21.75,6.375,6,24,-60,2412,FTM_PINK,1
153957043,0.5,21.25,3.975,5,24,-59,2412,FTM_PINK,1
153957575,0.5,22.625,4.605,5,24,-59,2412,FTM_PINK,1
153958114,0.5,20.5,4.215,5,24,-58,2412,FTM_PINK,1
153958647,0.5,19.312,5.865,8,24,-64,2412,FTM_PINK,1
153959177,0.5,19.937,5.565,6,24,-74,2412,FTM_PINK,1
153959722,0.5,27.437,3.9,5,24,-66,2412,FTM_PINK,1
153960253,0.5,20.5,4.275,5,24,-59,2412,FTM_PINK,1
153960794,0.5,23.25,3.675,5,24,-66,2412,FTM_PINK,1
153961330,0.5,22.187,5.505,6,24,-58,2412,FTM_PINK,1
153961859,0.5,16.75,1.125,3,24,-58,2412,FTM_PINK,1
153962814,0.5,20.687,4.695,5,24,-58,2412,FTM_PINK,1
153963348,0.5,20.687,4.035,6,24,-62,2412,FTM_PINK,1
153963885,0.5,23.687,5.115,6,24,-66,2412,FTM_PINK,1
153964421,0.5,24.875,0.36,3,24,-58,2412,FTM_PINK,1
153964962,0.5,17.375,2.43,4,24,-58,2412,FTM_PINK,1
153965500,0.5,15.875,1.485,6,24,-58,2412,FTM_PINK,1
153966041,0.5,24.25,1.32,3,24,-59,2412,FTM_PINK,1
153966578,0.5,21.75,6.735,6,24,-65,2412,FTM_PINK,1
153967124,0.5,27.437,0.435,3,24,-60,2412,FTM_PINK,1
153968184,0.5,20.375,5.55,6,24,-58,2412,FTM_PINK,1
153968725,0.5,21.125,7.35,2,24,-74,2412,FTM_PINK,1
153969268,0.5,19.937,4.755,6,24,-58,2412,FTM_PINK,1
153969809,0.5,19.0,5.16,5,24,-58,2412,FTM_PINK,1
153970345,0.5,23.5,4.725,4,24,-58,2412,FTM_PINK,1
153970881,0.5,21.125,6.015,6,24,-58,2412,FTM_PINK,1
153971418,0.5,19.937,2.1,4,24,-58,2412,FTM_PINK,1
153971954,0.5,20.375,4.875,5,24,-58,2412,FTM_PINK,1
153972503,0.5,22.312,6.795,5,24,-59,2412,FTM_PINK,1
153973034,0.5,19.5,6.18,6,24,-67,2412,FTM_PINK,1
153973576,0.5,26.5,5.1,5,24,-66,2412,FTM_PINK,1
153974117,0.5,19.5,5.085,6,24,-59,2412,FTM_PINK,1
153974639,0.5,29.687,0.15,2,24,-60,2412,FTM_PINK,1
153975562,0.5,21.0,3.225,4,24,-59,2412,FTM_PINK,1
153976550,0.5,22.0,5.625,4,24,-59,2412,FTM_PINK,1
153977091,0.5,20.5,5.31,7,24,-58,2412,FTM_PINK,1
153977618,0.5,20.812,4.02,6,24,-57,2412,FTM_PINK,1
153978159,0.5,19.0,4.41,4,24,-56,2412,FTM_PINK,1
153978702,0.5,16.75,5.31,6,24,-56,2412,FTM_PINK,1
153979234,0.5,20.25,6.585,6,24,-55,2412,FTM_PINK,1
153979760,0.5,20.25,4.455,4,24,-54,2412,FTM_PINK,1
153980302,0.5,18.875,5.955,6,24,-56,2412,FTM_PINK,1
153980832,0.5,20.812,5.865,6,24,-61,2412,FTM_PINK,1
153981374,0.5,17.812,3.675,6,24,-54,2412,FTM_PINK,1
153981911,0.5,21.562,4.695,7,24,-56,2412,FTM_PINK,1
153982441,0.5,15.25,0.495,3,24,-53,2412,FTM_PINK,1
153982973,0.5,18.75,3.705,4,24,-54,2412,FTM_PINK,1
153983507,0.5,20.25,4.455,6,24,-55,2412,FTM_PINK,1
153984045,0.5,19.625,3.69,6,24,-56,2412,FTM_PINK,1
153984580,0.5,19.0,4.05,5,24,-56,2412,FTM_PINK,1
153985122,0.5,19.937,5.16,5,24,-56,2412,FTM_PINK,1
153985662,0.5,18.875,4.38,5,24,-46,2412,FTM_PINK,1
