#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
158140691,0.5,17.5,4.815,6,24,-57,2412,FTM_BLUE,1
158141219,0.5,22.75,5.46,4,24,-53,2412,FTM_BLUE,1
158141757,0.5,17.25,0.855,5,24,-54,2412,FTM_BLUE,1
158142292,0.5,23.375,4.92,6,24,-54,2412,FTM_BLUE,1
158142833,0.5,24.875,5.31,6,24,-54,2412,FTM_BLUE,1
158143365,0.5,24.125,4.815,4,24,-54,2412,FTM_BLUE,1
158143904,0.5,21.0,4.665,6,24,-53,2412,FTM_BLUE,1
158144451,0.5,21.75,5.265,6,24,-53,2412,FTM_BLUE,1
158144989,0.5,25.75,4.605,4,24,-53,2412,FTM_BLUE,1
158145525,0.5,22.5,4.98,5,24,-59,2412,FTM_BLUE,1
158146068,0.5,20.062,4.77,6,24,-53,2412,FTM_BLUE,1
158146609,0.5,21.125,7.11,5,24,-54,2412,FTM_BLUE,1
158147145,0.5,20.375,5.145,6,24,-59,2412,FTM_BLUE,1
158147688,0.5,23.25,5.52,6,24,-53,2412,FTM_BLUE,1
158148229,0.5,20.375,5.49,5,24,-53,2412,FTM_BLUE,1
158148763,0.5,20.25,5.73,7,24,-58,2412,FTM_BLUE,1
158149695,0.5,17.375,2.415,5,24,-53,2412,FTM_BLUE,1
158150224,0.5,21.437,4.095,4,24,-53,2412,FTM_BLUE,1
158150769,0.5,21.125,6.6,6,24,-53,2412,FTM_BLUE,1
158151306,0.5,25.5,5.445,6,24,-61,2412,FTM_BLUE,1
158151841,0.5,25.75,4.215,7,24,-57,2412,FTM_BLUE,1
158152378,0.5,30.125,0.615,4,24,-57,2412,FTM_BLUE,1
158153346,0.5,20.5,5.01,6,24,-62,2412,FTM_BLUE,1
158153885,0.5,18.125,4.11,5,24,-55,2412,FTM_BLUE,1
158154416,0.5,17.25,3.57,5,24,-52,2412,FTM_BLUE,1
158154935,0.5,17.375,2.625,6,24,-53,2412,FTM_BLUE,1
158155474,0.5,23.25,4.905,6,24,-64,2412,FTM_BLUE,1
158156006,0.5,22.0,5.955,6,24,-65,2412,FTM_BLUE,1
158156926,0.5,22.0,5.715,6,24,-56,2412,FTM_BLUE,1
158157461,0.5,24.125,5.415,4,24,-57,2412,FTM_BLUE,1
158158004,0.5,19.937,0.765,4,24,-47,2412,FTM_BLUE,1
158158532,0.5,18.25,3.045,7,24,-56,2412,FTM_BLUE,1
158159061,0.5,20.25,4.47,6,24,-55,2412,FTM_BLUE,1
158159604,0.5,25.5,1.755,4,24,-56,2412,FTM_BLUE,1
158160135,0.5,20.5,3.855,7,24,-54,2412,FTM_BLUE,1
158160668,0.5,24.562,6.0,5,24,-56,2412,FTM_BLUE,1
158161199,0.5,28.75,0.18,4,24,-52,2412,FTM_BLUE,1
158161730,0.5,20.5,0.885,3,24,-53,2412,FTM_BLUE,1
158162258,0.5,26.812,4.815,5,24,-43,2412,FTM_BLUE,1
158162798,0.5,24.25,2.25,4,24,-52,2412,FTM_BLUE,1
158163324,0.5,23.5,5.775,6,24,-57,2412,FTM_BLUE,1
158163853,0.5,18.25,2.325,4,24,-53,2412,FTM_BLUE,1
158164389,0.5,22.5,4.89,6,24,-53,2412,FTM_BLUE,1
158164922,0.5,23.375,5.055,6,24,-54,2412,FTM_BLUE,1
158165451,0.5,30.0,4.425,4,24,-53,2412,FTM_BLUE,1
158165993,0.5,25.187,4.47,6,24,-53,2412,FTM_BLUE,1
158166527,0.5,26.375,3.855,5,24,-42,2412,FTM_BLUE,1
158167054,0.5,25.5,5.955,6,24,-54,2412,FTM_BLUE,1
158167594,0.5,25.75,3.765,6,24,-55,2412,FTM_BLUE,1
158170379,0.5,25.0,6.555,5,24,-62,2412,FTM_BLUE,1
