#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
218389035,0.5,13.312,8.16,6,24,-67,2412,FTM_ORANGE,1
218389645,0.5,12.0,6.555,3,24,-62,2412,FTM_ORANGE,1
218390268,0.5,16.0,4.32,7,24,-57,2412,FTM_ORANGE,1
218390865,0.5,12.437,6.195,7,24,-64,2412,FTM_ORANGE,1
218391446,0.5,10.0,4.5,6,24,-67,2412,FTM_ORANGE,1
218392046,0.5,10.0,6.45,6,24,-57,2412,FTM_ORANGE,1
218393741,0.5,10.187,6.525,6,24,-70,2412,FTM_ORANGE,1
218394341,0.5,19.625,0.9,2,24,-45,2412,FTM_ORANGE,1
218394943,0.5,11.062,5.745,4,24,-70,2412,FTM_ORANGE,1
218395537,0.5,9.437,6.06,6,24,-66,2412,FTM_ORANGE,1
218396138,0.5,9.0,0.255,3,24,-54,2412,FTM_ORANGE,1
218396757,0.5,10.625,5.85,5,24,-67,2412,FTM_ORANGE,1
218398304,0.5,11.062,4.305,7,24,-68,2412,FTM_ORANGE,1
218398897,0.5,14.25,4.41,3,24,-64,2412,FTM_ORANGE,1
218399529,0.5,11.062,0.75,4,24,-58,2412,FTM_ORANGE,1
218400128,0.5,24.0,7.065,3,24,-76,2412,FTM_ORANGE,1
218400715,0.5,19.187,0.495,3,24,-74,2412,FTM_ORANGE,1
218401307,0.5,12.0,6.63,6,24,-71,2412,FTM_ORANGE,1
218401918,0.5,21.875,0.99,3,24,-71,2412,FTM_ORANGE,1
218402509,0.5,9.875,4.995,6,24,-71,2412,FTM_ORANGE,1
218403130,0.5,17.812,4.365,4,24,-71,2412,FTM_ORANGE,1
218404254,0.5,12.0,4.275,6,24,-70,2412,FTM_ORANGE,1
218405384,0.5,9.875,5.925,6,24,-70,2412,FTM_ORANGE,1
218405973,0.5,11.062,0.45,4,24,-72,2412,FTM_ORANGE,1
218406951,0.5,13.937,5.31,5,24,-58,2412,FTM_ORANGE,1
218407540,0.5,14.5,6.18,6,24,-71,2412,FTM_ORANGE,1
218408748,0.5,11.687,3.99,3,24,-71,2412,FTM_ORANGE,1
218409332,0.5,13.937,6.21,6,24,-73,2412,FTM_ORANGE,1
218411540,0.5,7.937,0.855,4,24,-67,2412,FTM_ORANGE,1
218412665,0.5,13.5,4.605,6,24,-58,2412,FTM_ORANGE,1
218414999,0.5,20.062,0.285,3,24,-52,2412,FTM_ORANGE,1
218416140,0.5,13.0,6.525,4,24,-70,2412,FTM_ORANGE,1
218416731,0.5,14.5,6.075,5,24,-69,2412,FTM_ORANGE,1
